Name,Place
107冬令彰化田中之愛,Changhua
106夏令高雄茂林之愛,Kaohsiung
106冬令花蓮瑞穗之愛,Hualien
105夏令屏東滿州之愛,Pingtung
105冬令雲林口湖之愛,Yunlin
104夏令南投信義之愛,Nantou
104冬令花蓮秀林之愛,Hualien
103夏令南投信義之愛,Nantou
103冬令屏東來義之愛,Pingtung
102夏令台東長濱之愛,Taitung
102冬令台東金峰之愛,Taitung
101夏令南投仁愛之愛,Nantou
101冬令台東池上之愛,Taitung
100夏令花蓮玉里之愛,Hualien
100冬令海端之愛,Hsinchu
99夏令仁愛之愛,Nantou
99冬泰武之愛,Pingtung
98夏信義之愛,Nantou
98冬蘭嶼之愛,Taitung
97夏信義仁愛之愛,Nantou
97冬大同之愛,
96冬信義新鄉之愛,Nantou
96夏萬榮之愛,Hualien
95冬萬榮之愛,Hualien
95夏仁愛之愛,Nantou
94冬仁愛之愛,Nantou
94夏仁愛之愛,Nantou
93冬仁愛之愛,Nantou
93夏敏督利之愛,
92冬仁愛之愛,
92夏復興之愛,Taoyuan
91冬仁愛之愛,Nantou
91夏泰安之愛,Miaoli
90冬,
90夏復興之愛,Taoyuan
89冬復興之愛,Taoyuan
89夏大同之愛,Yilan
88冬泰安之愛,Miaoli
88夏萬豐之愛,Nantou
87冬泰安之愛,Miaoli
87夏萬豐之愛,Nantou
86冬泰安之愛,Miaoli
86夏萬豐之愛,Nantou
,
85夏大同之愛,Yilan
84冬泰安之愛,Miaoli
84夏大同之愛,Yilan
83冬泰安之愛,Miaoli
83夏五峰之愛,Hsinchu
82冬泰安之愛,Miaoli
82夏福山之愛,NewTaipei
82夏柑林之愛,NewTaipei
81冬南澳之愛,Yilan
81夏南澳之愛,Yilan
80冬大同之愛,Yilan
80夏泰安之愛,Miaoli
79冬信義之愛,Nantou
79夏泰安之愛,Miaoli
78冬信義之愛,Nantou
78夏,
77冬秀林之愛,Hualien
77夏,
76冬秀林之愛,Hualien
76夏,
75冬信義之愛,Nantou
75夏,
74冬信義之愛,Nantou
74夏,
73冬秀林之愛,Hualien
73夏,
72冬秀林之愛,Hualien
72夏,
71夏南澳之愛,Yilan
70南澳之愛,Yilan
69汐止之愛,NewTaipei
68五股之愛,NewTaipei