year,north,central,south,east,islands,oversea,total
1980,5,2,2,1,2,0,12
1981,6,2,1,1,2,0,12
1982,5,3,1,2,2,0,13
1983,9,3,2,2,3,0,19
1984,10,4,2,2,3,0,21
1985,9,4,2,2,3,0,20
1986,10,4,2,2,3,0,21
1987,20,5,5,2,3,0,35
1988,22,5,5,2,3,0,37
1989,22,5,5,2,3,0,37
1990,22,6,5,2,3,0,38
1991,21,8,5,2,4,0,40
1992,23,6,6,1,4,0,40
1993,27,7,6,1,4,0,45
1994,29,7,6,1,4,0,47
1995,32,7,6,1,4,0,50
1996,39,8,6,1,5,0,59
1997,42,8,6,1,5,0,62
1998,48,18,14,1,3,0,84
1999,48,19,5,0,3,0,75
2000,46,14,5,4,3,0,72
2001,51,24,6,8,6,0,95
2002,49,30,5,6,5,0,95
2003,50,18,2,5,11,0,86
2004,71,22,4,9,9,0,115
2005,68,9,7,6,12,0,102
2006,14,10,7,15,14,2,62
2007,18,12,8,14,13,7,72
2008,20,17,6,9,12,13,77
2009,20,12,8,10,13,15,78
2010,21,15,8,11,12,12,79
2011,20,17,7,10,12,9,75
2012,19,16,11,9,11,8,74
2013,19,13,12,23,5,8,80
2014,21,18,7,25,2,11,84
2015,19,16,7,17,7,10,76
2016,15,14,7,17,5,11,69